key,instantiation_update_moment,period_start,period_end,linkPicture,slogan,linkTarget
banner-01,2022/01/15 16:30,2022/07/29 01:00,2022/08/01 23:59,https://inventado78xtyu.jsp/imagen1.jpg,Descubre nuestros cursos,https://inventado78xtyu.jsp/cursos
banner-02,2022/04/20 12:00,2022/07/28 03:00,2022/07/30 23:59,https://inventado09piyu.jsp/imagen2.jpg,Aprende nuevas habilidades,https://inventado09piyu.jsp/habilidades
banner-03,2022/07/10 10:45,2023/07/27 00:00,2023/08/01 23:59,https://inventadoq8xtyu.jsp/imagen3.jpg,Inscríbete en nuestros talleres,https://inventadoq8xtyu.jsp/talleres
banner-04,2022/06/18 14:15,2023/08/01 00:00,2023/08/31 23:59,https://inventadoiia2xtyu.jsp/imagen4.jpg,Mejora tu carrera profesional,https://inventadoiia2xtyu.jsp/carrera
banner-05,2022/07/22 11:25,2023/09/01 00:00,2023/09/15 23:59,https://inventado7865hjvkg.jsp/imagen5.jpg,Únete a nuestra comunidad,https://inventado7865hjvkg.jsp/comunidad
banner-06,2022/05/28 18:00,2023/10/01 00:00,2023/10/31 23:59,https://inventadosgfd83f.jsp/imagen6.jpg,Desarrolla tus habilidades técnicas,https://inventadosgfd83f.jsp/tecnico
banner-07,2022/04/10 09:30,2023/11/01 00:00,2023/11/30 23:59,https://inventadoasv03.jsp/imagen7.jpg,Invierte en tu futuro,https://inventadoasv03.jsp/futuro
banner-08,2022/02/15 16:40,2023/12/01 00:00,2023/12/31 23:59,https://inventadop3.jsp/imagen8.jpg,Aprende a tu ritmo,https://inventadop3.jsp/ritmo
banner-09,2022/01/26 20:50,2024/01/01 00:00,2024/01/31 23:59,https://inventadouu28.jsp/imagen9.jpg,Explora nuevos temas,https://inventadouu28.jsp/temas
banner-10,2022/03/12 22:00,2024/02/01 00:00,2024/02/28 23:59,https://inventado4u27.jsp/imagen10.jpg,Especialízate en tu área,https://inventado4u27.jsp/especializacion
